,speciesGroup,taxonomicRankKingdom,taxonomicRankPhylum,taxonomicRankClass,taxonomicRankOrder,taxonomicRankFamily,taxonomicRankGenus,taxonomicRankSpecies,endemicToEurope,populationTrend,useAndTrade,europeanRegionalRedListCategory
8,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,agilissima,No,Decreasing,not utilized,DD
10,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,albopunctata,No,Decreasing,not utilized,LC
77,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,comta,No,Decreasing,not utilized,EN
123,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,ferrugineicrus,No,Stable,not utilized,LC
128,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,flavipes,No,Increasing,not utilized,LC
134,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,forsterella,No,Stable,not utilized,LC
142,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,fulvida,No,Decreasing,not utilized,NT
149,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,gallica,No,Decreasing,not utilized,NT
157,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,granulosa,No,Decreasing,not utilized,LC
163,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,hattorfiana,No,Decreasing,not utilized,NT
164,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,hedikae,No,Decreasing,not utilized,DD
168,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,hesperia,No,Stable,not utilized,LC
192,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,lagopus,No,Stable,not utilized,LC
193,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,lamiana,No,Stable,not utilized,LC
194,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,langadensis,No,Stable,not utilized,LC
195,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,lapponica,No,Stable,not utilized,LC
209,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,livens,No,Stable,not utilized,LC
213,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,maderensis,Yes,Stable,not utilized,LC
223,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,miegiella,No,Stable,not utilized,LC
265,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,orbitalis,No,Stable,not utilized,LC
270,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,ovatula,No,Decreasing,not utilized,NT
274,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,pallitarsis,No,Decreasing,not utilized,DD
276,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,pandellei,No,Stable,not utilized,LC
285,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,paucisquama,No,Decreasing,not utilized,DD
290,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,pilipes,No,Stable,not utilized,LC
292,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,polita,No,Stable,not utilized,LC
294,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,potentillae,No,Decreasing,not utilized,DD
295,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,praecox,No,Stable,not utilized,LC
322,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,rufula,No,Stable,not utilized,LC
347,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,sillata,No,Stable,not utilized,LC
349,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,simillima,No,Decreasing,not utilized,LC
356,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,stabiana,No,Stable,not utilized,LC
358,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,stepposa,Yes,Decreasing,not utilized,EN
359,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,stigmatica,No,Decreasing,not utilized,EN
380,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,transitoria,No,Decreasing,not utilized,VU
382,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,tridentata,No,Decreasing,not utilized,CR
385,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,tringa,No,Stable,not utilized,LC
393,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,vachali,No,Stable,not utilized,LC
412,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Andrena,wollastoni,Yes,Stable,not utilized,LC
413,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Camptopoeum,friesei,No,Stable,not utilized,LC
418,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Flavipanurgus,flavus,Yes,Stable,not utilized,LC
421,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Flavipanurgus,ibericus,Yes,Stable,not utilized,LC
423,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Flavipanurgus,venustus,Yes,Stable,not utilized,LC
424,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Melitturga,caudata,No,Stable,not utilized,LC
425,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Melitturga,clavicornis,No,Decreasing,not utilized,NT
430,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurginus,albopilosus,No,Stable,not utilized,LC
442,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,banksianus,No,Stable,not utilized,LC
443,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,calcaratus,No,Stable,not utilized,LC
445,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,canescens,Yes,Stable,not utilized,LC
446,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,cephalotes,No,Stable,not utilized,LC
449,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,dentipes,Yes,Stable,not utilized,LC
450,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,meridionalis,Yes,Stable,not utilized,LC
451,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,ANDRENIDAE,Panurgus,perezi,No,Stable,not utilized,LC
455,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Amegilla,albigena,No,Stable,not utilized,LC
467,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ammobates,dusmeti,Yes,Decreasing,not utilized,CR
470,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ammobates,melectoides,Yes,Decreasing,not utilized,EN
480,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ammobatoides,abdominalis,No,Decreasing,not utilized,EN
491,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,aestivalis,No,Decreasing,not utilized,LC
502,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,balneorum,No,Stable,not utilized,LC
503,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,bimaculata,No,Stable,not utilized,LC
504,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,borealis,No,Decreasing,not utilized,NT
520,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Anthophora,furcata,No,Stable,not utilized,LC
569,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Biastes,emarginatus,No,Stable,not utilized,LC
570,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Biastes,truncatus,No,Decreasing,not utilized,VU
571,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,alpinus,Yes,Decreasing,not utilized,VU
572,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,argillaceus,No,Stable,not utilized,LC
573,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,armeniacus,No,Decreasing,not utilized,EN
574,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,balteatus,No,Stable,not utilized,LC
575,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,barbutellus,No,Decreasing,not utilized,LC
576,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,bohemicus,No,Stable,not utilized,LC
577,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,brodmannicus,No,Stable,not utilized,EN
578,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,campestris,No,Stable,not utilized,LC
579,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,cingulatus,No,Stable,not utilized,LC
580,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,confusus,No,Decreasing,not utilized,VU
581,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,consobrinus,No,Stable,not utilized,LC
583,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,cullumanus,No,Decreasing,not utilized,CR
584,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,deuteronymus,No,Decreasing,not utilized,DD
585,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,distinguendus,No,Decreasing,not utilized,VU
586,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,flavidus,No,Stable,not utilized,LC
587,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,fragrans,No,Decreasing,utilized,EN
588,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,gerstaeckeri,No,Stable,not utilized,VU
590,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,haematurus,No,Increasing,not utilized,LC
591,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,hortorum,No,Stable,utilized,LC
592,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,humilis,No,Decreasing,not utilized,LC
593,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,hyperboreus,No,Decreasing,not utilized,VU
594,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,hypnorum,No,Increasing,not utilized,LC
595,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,inexspectatus,Yes,Decreasing,not utilized,EN
596,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,jonellus,No,Stable,not utilized,LC
597,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,laesus,No,Decreasing,not utilized,NT
598,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,lapidarius,No,Increasing,not utilized,LC
600,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,lucorum,No,Stable,not utilized,LC
602,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,mendax,Yes,Decreasing,not utilized,NT
603,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,mesomelas,No,Decreasing,not utilized,LC
605,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,mocsaryi,No,Decreasing,not utilized,EN
607,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,monticola,No,Decreasing,not utilized,LC
608,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,mucidus,Yes,Decreasing,not utilized,NT
609,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,muscorum,No,Decreasing,not utilized,VU
610,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,niveatus,No,Stable,not utilized,LC
611,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,norvegicus,No,Stable,not utilized,LC
612,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,pascuorum,No,Increasing,not utilized,LC
613,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,patagiatus,No,Decreasing,not utilized,DD
614,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,perezi,Yes,Stable,not utilized,LC
615,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,pereziellus,Yes,Stable,not utilized,LC
616,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,polaris,No,Decreasing,not utilized,VU
617,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,pomorum,No,Decreasing,not utilized,VU
618,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,pratorum,No,Increasing,not utilized,LC
619,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,pyrenaeus,Yes,Stable,not utilized,LC
620,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,quadricolor,No,Decreasing,not utilized,LC
621,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,reinigiellus,Yes,Decreasing,not utilized,EN
622,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,ruderarius,No,Decreasing,not utilized,LC
623,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,ruderatus,No,Decreasing,not utilized,LC
626,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,schrencki,No,Increasing,not utilized,LC
627,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,semenoviellus,No,Increasing,not utilized,LC
628,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sichelii,No,Stable,not utilized,LC
629,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,soroeensis,No,Decreasing,not utilized,LC
630,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sporadicus,No,Stable,not utilized,LC
631,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,subterraneus,No,Decreasing,not utilized,LC
632,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sylvarum,No,Decreasing,not utilized,LC
633,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,sylvestris,No,Stable,not utilized,LC
634,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,terrestris,No,Increasing,utilized,LC
635,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,vestalis,No,Increasing,not utilized,LC
636,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,veteranus,No,Decreasing,not utilized,LC
637,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,wurflenii,No,Decreasing,not utilized,LC
638,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Bombus,zonatus,No,Decreasing,not utilized,EN
639,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,acuta,No,Decreasing,not utilized,LC
641,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,bispinosa,No,Decreasing,not utilized,LC
642,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,callosa,No,Stable,not utilized,LC
643,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,chalcites,No,Stable,not utilized,LC
644,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,chalybea,No,Stable,not utilized,LC
645,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,chrysomalla,No,Stable,not utilized,LC
646,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,cucurbitina,No,Stable,not utilized,LC
647,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,cyanea,No,Stable,not utilized,LC
649,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,dallatorreana,No,Stable,not utilized,LC
650,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,dentiventris,No,Stable,not utilized,LC
651,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,gravidula,Yes,Stable,not utilized,LC
653,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,mandibularis,No,Stable,not utilized,LC
654,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,mocsaryi,No,Stable,not utilized,LC
655,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,moricei,No,Stable,not utilized,LC
656,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,nigroaenea,No,Stable,not utilized,LC
657,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,nigrolabiata,No,Stable,not utilized,LC
658,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,parvula,No,Stable,not utilized,LC
660,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,saundersi,No,Stable,not utilized,LC
661,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Ceratina,schwarzi,No,Stable,not utilized,LC
670,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Epeolus,alpinus,Yes,Stable,not utilized,LC
673,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Epeolus,cruciger,Yes,Decreasing,not utilized,NT
681,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Epeolus,schummeli,No,Decreasing,not utilized,NT
686,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Epeolus,variegatus,No,Stable,not utilized,LC
721,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Eucera,interrupta,No,Decreasing,not utilized,LC
770,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Habropoda,tarsata,No,Stable,not utilized,LC
788,Bees,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,APIDAE,Melecta,luctuosa,No,Decreasing,not utilized,LC
